address_1_r
Broad Street
Wall Street
 Park Avenue
 Lexington Avenue
 Madison Avenue
 Fifth Avenue
 Broadway
 West Side Highway
 East Side Highway
 Brooklyn Bridge
 Manhattan Bridge
 Williamsburg Bridge
 Queensboro Bridge
 George Washington Bridge
 Lincoln Tunnel
 Holland Tunnel
 MacArthur Tunnel
 Triborough Bridge
 Verrazano-Narrows Bridge
 Benjamin Franklin Bridge
 Manhattanville Road
 Prospect Park West
 Flatbush Avenue
 Bedford Avenue
 Ocean Parkway
 Shore Road
 Rockaway Boulevard
 Queens Boulevard
 Northern Boulevard
 Southern Boulevard
 Eastern Boulevard
 Western Boulevard
 Atlantic Avenue
 Ventura Boulevard
 Hollywood Boulevard
 Sunset Boulevard
 Melrose Avenue
 La Brea Avenue
 Wilshire Boulevard
 Eastern Boulevard
 Western Boulevard
 Atlantic Avenue
 Ventura Boulevard
 Hollywood Boulevard
 Sunset Boulevard
 Melrose Avenue
 La Brea Avenue
 Wilshire Boulevard
 La Brea Avenue
 Wilshire Boulevard

